charity_id,name,phone_number,amount,charity_category_id
172,Mersal Charitable Foundation,3715379777,234.71,3
173,Bahia Hasbtl refuted it,(525)463-4755,821.85,3
174,Bahia Hasbtl refuted it,404-627-6083,1483.06,2
175,57357 Hospital,+1-432-339-5507x94790,1237.77,3
176,Bahia Hasbtl refuted it,552.629.6396x156,581.07,3
177,57357 Hospital,389-364-3954,962.78,3
178,World Wildlife Fund,(606)259-9046,2322.87,2
179,500 500,436.289.6036x13034,3264.1,1
180,Egyptian Red Crescent,873-484-2982x433,157.89,3
181,Resala Association,+1-271-757-2386x2503,3814.16,3
182,World Wildlife Fund,+1-293-530-0173x18334,4439.63,3
183,Bahia Hasbtl refuted it,922-746-1078,2166.45,1
184,Mersal Charitable Foundation,001-461-305-3288,345.62,3
185,57357 Hospital,2987319692,4860.98,1
186,500 500,5443003778,390.63,3
187,500 500,344.635.1937,1512.98,3
188,World Wildlife Fund,746.892.7327x092,240.85,1
189,Bahia Hasbtl refuted it,728.207.7527x31283,190.34,3
190,World Wildlife Fund,001-276-486-6966,3611.69,1
191,Resala Association,527-867-4061x00497,4411.25,1
192,Ahl Misr Foundation,+1-578-427-5998x20999,2765.54,2
193,500 500,265-768-1232x0601,3653.25,2
194,Egyptian Red Crescent,839-838-7842,2331.15,3
195,Mersal Charitable Foundation,001-224-252-8715x72686,2569.25,1
196,Bahia Hasbtl refuted it,896-337-4243,4014.16,3
197,World Wildlife Fund,+1-250-500-3441x8056,3076.29,1
198,500 500,5233998898,3507.54,3
199,Ahl Misr Foundation,+1-949-745-5555x92562,3389.33,3
200,UNICEF,984.643.7707,3520.83,3
201,Ahl Misr Foundation,3637316233,4424.61,3
202,Magdi Yacoub Heart Foundation,(361)347-4797x0753,515.41,1
203,Bahia Hasbtl refuted it,830-701-9090,1358.45,2
204,500 500,646-628-5215x0518,1141.98,1
205,Egyptian Red Crescent,001-711-778-1119x8897,1860.83,1
206,Bahia Hasbtl refuted it,429-372-7219,3390.88,1
207,Mersal Charitable Foundation,+1-727-249-4206,4338.52,3
208,Magdi Yacoub Heart Foundation,531-557-5062x3196,2410.41,3
209,Bahia Hasbtl refuted it,358.235.1028x0557,3424.37,1
210,World Wildlife Fund,+1-652-282-2902x499,1225.35,3
211,Resala Association,(426)239-6447x65639,1401.49,1
212,World Wildlife Fund,220.325.2533x1861,2108.35,2
213,57357 Hospital,001-392-850-1756x05383,3270.36,3
214,Bahia Hasbtl refuted it,(298)378-3463,1353.24,1
215,Egyptian Red Crescent,6085498283,3409.16,2
216,Egyptian Red Crescent,2997178129,1636.66,3
217,Resala Association,757.615.2832x335,1483.48,1
218,57357 Hospital,(916)895-3393,4511.13,3
219,Mersal Charitable Foundation,864.636.1454x6731,4148.05,1
220,Bahia Hasbtl refuted it,907.594.1422x36303,2772.0,1
221,Resala Association,858-310-5653x698,3559.02,2
222,Resala Association,001-931-928-4015x0432,4190.6,3
223,Resala Association,394.237.2444,1789.72,3
224,57357 Hospital,+1-396-383-8979x152,2368.8,1
225,Bahia Hasbtl refuted it,753.336.5480,3351.29,3
226,57357 Hospital,6519917871,1561.53,2
227,57357 Hospital,332-439-7322x881,2019.7,1
228,57357 Hospital,(531)968-1786x944,1731.71,2
229,World Wildlife Fund,(349)943-7098x39669,4577.05,1
230,UNICEF,(578)950-4642x71873,927.15,3
231,57357 Hospital,(308)675-4567x976,3171.92,2
232,Mersal Charitable Foundation,324-778-3501x479,2393.8,2
233,Egyptian Red Crescent,680-207-7866x8972,3663.19,1
234,Egyptian Red Crescent,3986007936,297.65,3
235,Magdi Yacoub Heart Foundation,936.399.6011x040,3288.87,1
236,Bahia Hasbtl refuted it,3154036020,592.11,1
237,Egyptian Red Crescent,9973040830,2891.66,2
238,Resala Association,+1-208-200-1958x26413,4607.16,1
239,UNICEF,(843)727-6520x6980,427.65,3
240,World Wildlife Fund,283.645.7988x31888,4037.31,2
241,UNICEF,+1-826-415-6539,1733.8,3
242,Ahl Misr Foundation,638-240-1226x0043,4014.57,2
243,Ahl Misr Foundation,310-526-0722,3035.98,2
244,500 500,404-385-2498x55284,4996.64,2
245,Ahl Misr Foundation,(287)936-2059x7781,1965.41,2
246,Ahl Misr Foundation,(329)248-1714x60990,2529.06,3
247,Resala Association,001-729-482-2192x7041,3838.1,3
248,Magdi Yacoub Heart Foundation,559-363-8507,2667.8,3
249,Bahia Hasbtl refuted it,(431)525-3329x169,2916.66,1
250,UNICEF,416-493-9321,1204.57,2
251,Ahl Misr Foundation,479.821.2453,926.56,1
252,World Wildlife Fund,001-213-587-5123x03971,4380.74,1
253,Ahl Misr Foundation,630-292-7914,4563.3,1
254,Bahia Hasbtl refuted it,+1-444-626-3048x140,4074.36,3
255,Ahl Misr Foundation,001-420-594-4096x9958,3869.76,3
256,Egyptian Red Crescent,8849640117,4015.45,1
257,Mersal Charitable Foundation,5704356782,3657.98,2
258,World Wildlife Fund,(701)816-7996x1208,3854.02,3
259,500 500,(890)498-8838x441,384.82,3
260,Bahia Hasbtl refuted it,974-264-8761x86396,266.82,3
261,57357 Hospital,407-484-6166,4999.0,2
262,500 500,5025883210,501.95,2
263,Bahia Hasbtl refuted it,+1-278-472-6034x2425,2005.23,3
264,Resala Association,+1-932-256-8395x4249,4548.53,3
265,500 500,3586562770,2912.16,3
266,Egyptian Red Crescent,001-743-319-5739,3503.21,3
267,Mersal Charitable Foundation,936.828.3796,1446.05,1
268,Resala Association,+1-230-727-6623x15787,4082.2,1
269,Magdi Yacoub Heart Foundation,663-248-7421,3659.54,2
270,UNICEF,+1-792-635-8275x49216,3848.04,1
271,Mersal Charitable Foundation,(889)827-9146x101,2644.23,2
272,Resala Association,(248)371-7291,3762.58,3
273,UNICEF,607-690-3664x7750,568.38,2
274,500 500,774.385.5252,3192.47,1
275,Bahia Hasbtl refuted it,3503026659,1311.9,3
276,57357 Hospital,001-262-832-9666x7624,1791.83,1
277,UNICEF,001-337-319-5591x701,996.08,3
278,UNICEF,001-449-359-7698,2872.32,1
279,57357 Hospital,566-361-8916,496.29,1
280,UNICEF,+1-964-739-8725x6982,3825.52,2
281,UNICEF,(811)452-6603,1751.21,1
282,Egyptian Red Crescent,299-398-6610,4530.03,3
283,57357 Hospital,001-640-701-6819x2828,4350.94,1
284,UNICEF,+1-678-279-5516x11743,3698.43,2
285,World Wildlife Fund,493.663.6760,3945.95,2
286,Resala Association,001-448-740-4150x24607,1885.41,1
287,World Wildlife Fund,(346)312-9251x36147,2526.59,3
288,Magdi Yacoub Heart Foundation,621-815-5323x9003,3861.3,1
289,500 500,(760)337-8119x9866,351.77,3
290,Egyptian Red Crescent,530.787.8097,3555.18,2
291,57357 Hospital,7078644843,2467.53,2
292,UNICEF,309-442-9233x299,503.87,1
293,Resala Association,722.871.2003x72569,1519.7,1
294,57357 Hospital,(200)216-2842,2033.23,2
295,Ahl Misr Foundation,+1-415-410-7233x3767,1701.93,2
296,57357 Hospital,643.473.3690x9373,2755.72,2
297,Ahl Misr Foundation,909-381-5530,3552.54,1
298,World Wildlife Fund,(831)779-6907x8244,1518.85,3
299,Magdi Yacoub Heart Foundation,7079668666,4664.42,2
300,57357 Hospital,840-613-2698x9925,459.17,2
301,57357 Hospital,(385)523-5598,4691.84,1
302,Bahia Hasbtl refuted it,001-587-626-0696x03850,4491.33,1
303,Magdi Yacoub Heart Foundation,(769)226-3083,2686.65,3
304,57357 Hospital,606-842-5897,270.37,3
305,500 500,863-233-9982x2039,4288.52,2
306,World Wildlife Fund,001-512-732-8536x5690,419.05,3
307,Ahl Misr Foundation,583-893-6680x0226,3463.18,1
308,World Wildlife Fund,(818)231-6164x23327,2058.83,2
309,500 500,244.481.9752,2140.38,2
310,World Wildlife Fund,001-941-221-7564x4807,1289.52,1
311,Egyptian Red Crescent,001-749-587-1018x874,3349.54,3
312,Egyptian Red Crescent,430-483-4075x625,401.01,2
313,Ahl Misr Foundation,001-924-727-0679x09429,437.59,1
314,Egyptian Red Crescent,351-695-8625,1111.43,2
315,500 500,(609)829-2645x978,4563.9,2
316,Resala Association,(235)921-7079,1449.83,1
317,Magdi Yacoub Heart Foundation,001-270-811-8128x541,2548.23,3
318,World Wildlife Fund,833.956.1565,3288.99,2
319,57357 Hospital,+1-823-533-9863x25357,840.09,1
320,57357 Hospital,+1-409-292-3163x863,1286.1,2
321,500 500,(510)989-5804,3073.61,2
322,UNICEF,001-252-753-9157x97164,756.2,2
323,UNICEF,+1-905-311-6179x4382,3182.97,2
324,Bahia Hasbtl refuted it,870-658-4387x0255,151.15,1
325,Mersal Charitable Foundation,(802)886-4123,4841.22,2
326,57357 Hospital,+1-876-922-7684x36736,4752.72,3
327,Magdi Yacoub Heart Foundation,(471)631-3224x133,1771.51,3
328,Mersal Charitable Foundation,867-975-2509x85074,303.71,2
329,Resala Association,380.938.7427,4057.13,2
330,57357 Hospital,(257)902-0419x08268,1859.59,1
331,Magdi Yacoub Heart Foundation,879-282-3834x411,3815.29,1
332,Resala Association,9765064206,2044.88,2
333,57357 Hospital,514.734.6963,375.32,3
334,World Wildlife Fund,375.258.1535,407.04,2
335,World Wildlife Fund,001-281-657-6190x273,2806.41,1
336,Resala Association,701.309.2777x695,3516.75,3
337,Magdi Yacoub Heart Foundation,+1-367-521-2762x08937,1356.61,1
338,Ahl Misr Foundation,835-993-4002x21371,1619.36,2
339,UNICEF,001-726-726-5588x622,531.24,2
340,500 500,(899)652-0251x959,253.19,2
341,Ahl Misr Foundation,710-224-2158,3655.93,3
342,Ahl Misr Foundation,318.617.1644x5488,2537.94,3
343,Egyptian Red Crescent,(621)834-2131,1237.42,2
344,Ahl Misr Foundation,999.549.8362x183,3623.9,3
345,Resala Association,400-948-1523,300.21,3
346,57357 Hospital,371-876-2779x5812,3991.86,1
347,Mersal Charitable Foundation,(365)408-4636x24351,4450.18,2
348,Egyptian Red Crescent,001-857-504-2423x18858,2859.21,3
349,Resala Association,753.454.9241,116.93,3
350,Ahl Misr Foundation,773-449-1923x95026,1198.79,3
351,500 500,001-873-575-6326x838,1402.37,1
352,Bahia Hasbtl refuted it,3469720500,2533.97,1
353,57357 Hospital,(407)598-5681,721.59,2
354,Egyptian Red Crescent,(970)933-6869x854,120.8,2
355,UNICEF,581.610.4459,1556.61,1
356,Magdi Yacoub Heart Foundation,559-379-9217x114,1963.36,2
357,World Wildlife Fund,292-900-5842,4905.14,2
358,World Wildlife Fund,+1-515-510-8162x0262,3397.61,1
359,Mersal Charitable Foundation,+1-531-851-1597x15630,3916.37,1
360,UNICEF,+1-736-256-0970x00612,1216.65,2
361,Bahia Hasbtl refuted it,829.377.3110x956,2505.27,1
362,Mersal Charitable Foundation,458-441-3179,2661.4,2
363,Mersal Charitable Foundation,001-975-223-3017x1082,1572.77,1
364,Ahl Misr Foundation,365-876-2750,837.81,2
365,Bahia Hasbtl refuted it,(386)591-0431x937,4913.75,3
366,UNICEF,(289)363-1260x43441,2607.31,3
367,UNICEF,001-320-909-8373x022,3556.04,1
368,Resala Association,(238)941-5027,2152.83,3
369,Ahl Misr Foundation,001-863-463-7465x540,4686.95,1
370,Magdi Yacoub Heart Foundation,549.341.1114x856,2920.9,1
371,Mersal Charitable Foundation,(572)996-8361x80026,1504.79,1
372,Ahl Misr Foundation,557.662.9210,2542.25,3
373,500 500,451.346.0723x65369,1744.2,2
374,Bahia Hasbtl refuted it,+1-845-258-3298x0090,4925.99,1
375,Ahl Misr Foundation,571.750.6854x0378,2945.6,3
376,Resala Association,001-458-344-4830x4340,3901.23,1
377,57357 Hospital,849-675-8889x8857,3994.08,3
378,500 500,392.669.4637,1800.07,3
379,500 500,(797)666-9222,637.71,3
380,World Wildlife Fund,235-928-9921,3842.79,2
381,500 500,001-799-409-8191,1947.44,3
382,World Wildlife Fund,001-628-628-2632x25187,2714.71,2
383,Magdi Yacoub Heart Foundation,380.547.8032,3783.65,2
384,Ahl Misr Foundation,764-425-9634x2156,1352.97,3
385,Resala Association,858.259.8138,3591.23,3
386,Resala Association,001-580-571-8347x837,297.8,2
387,Magdi Yacoub Heart Foundation,8515888211,177.88,3
388,500 500,905.578.1033,4188.95,1
389,Egyptian Red Crescent,001-310-485-8289x117,2794.47,1
390,57357 Hospital,438.336.5012x714,3220.69,2
391,500 500,2768818532,1076.86,1
392,Bahia Hasbtl refuted it,001-834-967-2231x0589,2456.09,2
393,500 500,(771)437-8049x44816,3664.42,2
394,Ahl Misr Foundation,977-639-6884x495,3392.23,1
395,500 500,496-702-8833,2073.53,3
396,Ahl Misr Foundation,736-495-4944,4926.29,1
397,UNICEF,257-498-3677,3798.06,2
398,Magdi Yacoub Heart Foundation,+1-733-913-4148x588,815.56,3
399,Mersal Charitable Foundation,799-759-4171x163,1869.5,1
400,Egyptian Red Crescent,+1-620-540-0543x03325,4030.9,2
401,UNICEF,207.743.8863x92353,4456.83,3
402,500 500,968-320-4876,1168.85,3
403,500 500,245.723.0347,2869.07,3
404,57357 Hospital,915-535-1915,488.77,1
405,Ahl Misr Foundation,624-765-4491,3886.19,2
406,Resala Association,+1-410-825-7896x452,3220.05,1
407,Ahl Misr Foundation,282.947.3256x77266,3037.96,3
408,UNICEF,(668)283-1074x323,4863.38,3
409,World Wildlife Fund,384-589-2762x777,3248.56,1
410,Ahl Misr Foundation,8247777061,4965.86,2
411,Bahia Hasbtl refuted it,501-605-2072x1698,3339.87,2
412,UNICEF,+1-297-303-0510,2787.57,1
413,Resala Association,+1-865-464-8028x01049,3714.41,3
414,Bahia Hasbtl refuted it,001-764-856-8802,4565.52,3
415,Bahia Hasbtl refuted it,(771)542-7981,3647.83,2
416,Bahia Hasbtl refuted it,(460)255-6219,1738.62,3
417,Mersal Charitable Foundation,(332)357-7921,4648.35,3
418,57357 Hospital,503.245.8471x227,4315.72,1
419,Mersal Charitable Foundation,269.966.1634x41909,1955.97,3
420,Resala Association,(347)929-8642,4133.88,1
421,Magdi Yacoub Heart Foundation,655-744-5928x26934,1684.39,2
422,Bahia Hasbtl refuted it,(825)868-4877,4634.96,1
423,Ahl Misr Foundation,001-713-897-9923x145,1140.76,1
424,Egyptian Red Crescent,001-865-747-9058,3943.58,3
425,Mersal Charitable Foundation,001-851-446-0187,1652.08,2
426,World Wildlife Fund,224-264-7288,1840.84,3
427,UNICEF,671-516-8316x425,2127.73,1
428,57357 Hospital,447.445.9330,1540.2,1
429,Resala Association,5548848730,4360.88,3
430,UNICEF,872-467-3469,1567.1,1
431,Egyptian Red Crescent,+1-612-274-2748x3044,1805.59,2
432,Egyptian Red Crescent,684-592-2148,4418.64,1
433,World Wildlife Fund,857.733.0766x896,403.92,3
434,500 500,815.428.3938,4817.88,2
435,Egyptian Red Crescent,525-741-5046,4560.37,2
436,Ahl Misr Foundation,(639)585-2438x2750,4205.73,2
437,Ahl Misr Foundation,001-694-235-6732x2030,1740.28,3
438,Egyptian Red Crescent,+1-454-461-3943x48628,1852.97,3
439,500 500,2027040908,2644.22,1
440,Magdi Yacoub Heart Foundation,(411)212-6407x935,422.26,2
441,Ahl Misr Foundation,522-861-0115,408.36,1
442,57357 Hospital,+1-425-584-2446,959.38,2
443,500 500,584.553.4489x468,4030.08,1
444,57357 Hospital,219.520.2326,2182.05,2
445,Magdi Yacoub Heart Foundation,001-677-216-6471,3655.07,3
446,World Wildlife Fund,350.244.2962x552,4344.94,3
447,57357 Hospital,574-846-8955x967,3796.32,2
448,Egyptian Red Crescent,300.385.7404x0775,4431.52,3
449,500 500,(747)250-2680,1466.09,2
450,Egyptian Red Crescent,+1-479-666-1621x38498,3255.21,2
451,500 500,(258)869-0887,1931.25,3
452,Egyptian Red Crescent,+1-311-662-1421,2633.72,3
453,57357 Hospital,+1-557-513-5021,456.52,1
454,Ahl Misr Foundation,9894847938,4588.71,2
455,Bahia Hasbtl refuted it,918-467-6537,203.53,2
456,Mersal Charitable Foundation,491.594.2366,2483.42,2
457,Egyptian Red Crescent,(760)801-9463,1648.26,2
458,57357 Hospital,(888)301-2914x24590,1823.2,3
459,Resala Association,446-643-3398x62221,1788.02,3
460,World Wildlife Fund,510-863-7227x990,336.24,3
461,Resala Association,794.856.9031x19648,1388.1,2
462,Resala Association,001-842-892-2693x39574,1163.11,2
463,Magdi Yacoub Heart Foundation,001-831-210-4092x980,896.39,3
464,UNICEF,+1-600-802-6997x878,3977.22,3
465,World Wildlife Fund,(918)930-4681x64283,3852.62,3
466,Egyptian Red Crescent,(594)247-6534,3683.68,1
467,500 500,542-925-7851x54921,4507.45,1
468,UNICEF,5285391755,1775.67,3
469,57357 Hospital,(455)415-8408x36136,1497.27,1
470,World Wildlife Fund,(926)504-5872,2324.53,1
471,UNICEF,+1-593-549-4624x65795,359.53,2
472,UNICEF,2642097335,4132.79,3
473,500 500,(797)802-8863,2628.78,1
474,World Wildlife Fund,001-867-748-2101x35108,4312.05,3
475,57357 Hospital,9938561605,4029.68,2
476,Ahl Misr Foundation,(796)495-6586,2290.08,3
477,500 500,384.946.9219x455,1442.56,3
478,Egyptian Red Crescent,(284)379-4509,248.39,3
479,World Wildlife Fund,897.255.0299,2749.03,2
480,Resala Association,736.733.8536,4875.2,3
481,Ahl Misr Foundation,781-446-9634x46120,4128.74,2
482,Mersal Charitable Foundation,701.268.0587,928.27,2
483,Mersal Charitable Foundation,001-657-413-7528x1806,1766.11,2
484,Resala Association,001-986-846-6723x917,2435.09,1
485,Mersal Charitable Foundation,(749)409-6374,4573.59,3
486,57357 Hospital,529.605.0150x8065,279.71,1
487,Mersal Charitable Foundation,7809131881,4259.72,1
488,Egyptian Red Crescent,431-837-2631x23523,1226.89,3
489,Resala Association,001-258-908-9877x0137,4452.69,3
490,500 500,2635972276,4659.61,2
491,Magdi Yacoub Heart Foundation,+1-212-837-6873x1663,1149.3,1
492,Ahl Misr Foundation,863.870.6125,3245.0,3
493,Mersal Charitable Foundation,679.923.9282,2803.7,1
494,Resala Association,+1-874-267-6477x748,1907.82,3
495,World Wildlife Fund,+1-296-205-3871x725,3954.54,2
496,Bahia Hasbtl refuted it,481.625.6480x8194,2955.92,2
497,57357 Hospital,001-655-480-6434,246.68,2
