transaction_id,user_id,service_id,charity_id,amount,transaction_type_id,date_id
443,29,25,3,943.73,2,330
444,21,3,13,920.95,4,127
445,26,19,20,51.15,3,147
446,39,29,18,490.94,1,50
447,5,4,2,993.28,4,307
448,43,14,20,903.31,1,69
449,49,23,3,383.48,2,327
450,21,12,12,719.92,3,105
451,8,19,18,87.73,1,167
452,24,18,1,599.44,4,174
453,43,10,19,559.72,4,182
454,33,12,19,985.82,4,315
455,33,8,16,206.43,2,65
456,33,8,16,181.94,1,112
457,2,20,5,981.46,3,236
458,10,26,12,724.82,4,212
459,17,18,4,453.06,3,332
460,48,19,6,420.67,3,202
461,20,25,16,897.99,4,221
462,41,27,2,802.14,1,244
463,9,23,14,467.82,4,281
464,49,30,13,108.08,4,330
465,20,27,4,768.12,3,269
466,16,30,7,488.05,4,211
467,18,29,16,382.14,4,327
468,35,7,19,971.49,1,203
469,21,17,2,442.87,3,80
470,18,2,10,978.48,2,343
471,37,21,9,445.75,4,113
472,22,6,11,752.92,1,218
473,34,28,18,972.35,2,194
474,29,18,5,281.65,3,187
475,48,28,10,143.36,2,343
476,24,9,18,639.09,2,288
477,24,22,20,106.77,2,249
478,50,7,1,542.93,2,291
479,35,16,14,92.54,1,191
480,31,9,16,811.17,2,251
481,37,19,18,885.71,4,22
482,24,27,3,904.97,2,55
483,33,15,11,259.86,2,86
484,31,2,17,667.6,4,76
485,2,3,6,509.27,4,72
486,29,10,12,294.94,1,289
487,36,1,15,980.7,2,260
488,24,17,8,763.16,2,317
489,39,24,1,422.54,1,151
490,44,8,6,664.93,1,95
491,44,14,12,972.89,4,63
492,3,30,5,623.2,4,117
493,41,29,6,211.87,4,68
494,41,7,6,797.34,1,259
495,39,30,12,674.69,2,186
496,12,22,18,174.99,2,160
497,42,29,19,698.05,1,312
498,15,8,16,249.1,3,80
499,19,25,19,690.6,1,292
500,19,27,15,445.06,2,169
